Id,Timestamp,Source,Retwwet_Count,User_Name,tweets,text_length
1.25E+18,06/04/20 1:23,Twitter for iPhone,0,Do Marlay Ka Moonh,japan suppose country didn    problem mask wearing country,11
1.25E+18,06/04/20 1:23,Twitter for iPhone,0,sophiabot Ì¡üåè ,  cook mama apparently  switch mine crypto currency   hell     ,18
1.25E+18,06/04/20 1:22,Twitter Web Client,0,Cllr Brian Silvester. #PrescribeChloroquineNOW Ì¢åÕ,thousands doctor agree hydroxychloroquine best treatment that patient deny life save drug  total outrage thousands brits allow  unnecessarily shameful,21
1.25E+18,06/04/20 1:22,Twitter for iPhone,0,TÌ¡üå_å,when need make appointment     ,9
1.25E+18,06/04/20 1:22,Twitter for iPhone,0,claresglow on ig,    even   anymore   everyday dumbass corona    ,17
1.25E+18,06/04/20 1:22,Twitter for iPhone,0,Ì¢èÏå_ PreMedGirl Ì¢èÏå_,      test  double pneumonia docs tell pray,13
1.25E+18,06/04/20 1:22,Twitter for Android,0,Ralphs girl, dont realize many  corona screw  worldpeople hear throw  away  wrongcoronavirus disease      ,22
1.25E+18,06/04/20 1:22,Twitter Web App,0,Gary Davis,miss  stop spread virus allow airline operatemsnbc state        peopleday  governors close border  allow  country spread   help ,30
1.25E+18,06/04/20 1:22,Twitter for iPhone,0,Rick Stroud,tough  back ignore still think      stayhomestaysafe,12
1.25E+18,06/04/20 1:22,Twitter for Android,0,#KKL #BTHOCovid19,cant wait  coronacn start sell  biden               wonder cheerleaders,24
1.25E+18,06/04/20 1:22,Twitter for iPhone,0,Ì¡üÕåÈÌ¡üÕå_,     force          gathering                 ,33
1.25E+18,06/04/20 1:22,Twitter Web App,0,Eric,after quarantine  gonna become professional gardener change name  delion quarantine coronavirus gardening gardener gillettefusion pineapplesummer,17
1.25E+18,06/04/20 1:22,Twitter for iPhone,0,LoÌ¢åå_Ìøåüå,    actually   like miss grandparent miss friend     ready shit,18
1.25E+18,06/04/20 1:22,Twitter for Android,0,Utibe Udoka Essien,sometimes funny feeling voice echo nowhere  utibe udoka essien evict  brother house stay home task ,18
1.25E+18,06/04/20 1:22,Twitter for Android,0,CK Turul,important youtubers youtube youtuber creator important quarantine,7
1.25E+18,06/04/20 1:22,Twitter Web App,0,Ghaus Ullah (An Aboriginal Indian ),show overconfidence still  superpower america europe think destroy ruin country realise allahthehealer  supreme usacoronavirus spain italycoronavirus,18
1.25E+18,06/04/20 1:22,Twitter for Android,0,`,easily would     what       ,14
1.25E+18,06/04/20 1:22,Twitter Web Client,0,Cass (Strike strike strike!),really sure mean lyric song mean  gonna brush dont really understand   also tell  kinda cool ,20
1.25E+18,06/04/20 1:22,Twitter for iPhone,0,vivi,actually     viroos,6
